id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,tags
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,upbeat summer feel good morning drive singalong bright synth
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,study focus late night mellow beats homework relax background
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,aggressive guitar driving fast adrenaline power workout loud
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,soft rainy calm reading quiet cozy acoustic soothing sleep
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,workout gym running high tempo pump up motivation cardio beat
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,dreamy floating meditation calm spacey slow ethereal peaceful
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,smooth warm cafe brunch mellow saxophone laid back sunday
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,retro neon cyberpunk driving nighttime cinematic 80s dark
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,study concentration deep work productivity calm steady beats
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,feel good sunset party bright jangly guitar summer dance
11,Concrete Kings,Blocktape,hip-hop,confident,0.80,95,0.62,0.85,0.12,rap bass heavy swagger street bold groove head nod bounce
12,Golden Hour Fields,June Willow,country,nostalgic,0.55,102,0.74,0.61,0.68,warm acoustic guitar sunset roadtrip storytelling heartfelt
13,Moonlit Sonata Redux,Clara Vance,classical,calm,0.30,66,0.45,0.20,0.95,piano peaceful elegant reflective sleep study soft delicate
14,Voltage Drop,Pulsewave,edm,energetic,0.95,128,0.70,0.92,0.04,festival club drop bass dance party high energy electronic rave
15,Ocean and Salt,Driftwood Choir,folk,dreamy,0.38,88,0.58,0.44,0.90,acoustic gentle harmony nature reflective calm campfire soft
16,Iron Verdict,Ashen Crown,metal,angry,0.97,160,0.35,0.55,0.06,heavy aggressive loud distortion screaming intense rage mosh
17,Slow Dance Tonight,Velvet Room,r&b,romantic,0.50,84,0.68,0.72,0.40,smooth sensual love date night slow groove intimate warm vocals
18,Island Time,Palm Radio,reggae,relaxed,0.60,98,0.83,0.78,0.33,beach summer sunny laid back chill tropical vacation groove
19,Neon Marathon,Pulsewave,edm,energetic,0.90,140,0.66,0.90,0.06,running cardio workout fast electronic driving pump treadmill
20,Paper Boats,June Willow,folk,nostalgic,0.34,82,0.62,0.42,0.91,acoustic gentle childhood memory calm reflective soft campfire
21,Boardroom Boss,Blocktape,hip-hop,confident,0.78,92,0.58,0.83,0.10,rap swagger bold bass motivation hustle grind head nod power
22,Glass Cathedral,Clara Vance,classical,calm,0.26,58,0.40,0.18,0.96,piano strings peaceful reflective elegant sleep meditation slow
23,Firelight Waltz,Velvet Room,r&b,romantic,0.48,80,0.70,0.68,0.44,slow dance love date intimate smooth candlelight warm vocals
24,Static Bloom,Voltline,rock,intense,0.88,148,0.50,0.64,0.12,loud guitar driving fast adrenaline power aggressive workout mosh
25,Tide Pools,Orbit Bloom,ambient,chill,0.24,56,0.60,0.38,0.94,meditation calm floating spacey peaceful sleep ethereal slow
26,Sugar Rush,Neon Echo,pop,happy,0.86,126,0.88,0.85,0.14,upbeat party dance bright feel good summer singalong catchy
27,Deadline Sprint,LoRoom,lofi,focused,0.44,84,0.55,0.61,0.74,study focus deep work concentration steady calm beats productivity
28,Canyon Drive,Palm Radio,reggae,relaxed,0.58,96,0.80,0.76,0.36,roadtrip sunny beach laid back chill tropical summer groove
